# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
14,Pre-Flop,1,-388,388,CALL,0,"['4h', '9s']","['6s', 'Ad']","['6h', '9d']",,4d,2,2
14,Flop,0,-388,388,CHECK,0,"['4h', '9s']","['6s', 'Ad']","['6h', '9d', '7h']",,4d,100,100
14,Flop,1,-388,388,CHECK,0,"['4h', '9s']","['6s', 'Ad']","['6h', '9d', '7h']",,4d,100,100
14,Turn,0,-388,388,CHECK,0,"['4h', '9s']","['6s', 'Ad']","['6h', '9d', '7h', '5s']",,4d,100,100
14,Turn,1,-388,388,CHECK,0,"['4h', '9s']","['6s', 'Ad']","['6h', '9d', '7h', '5s']",,4d,100,100
14,River,0,-388,388,CHECK,0,"['4h', '9s']","['6s', 'Ad']","['6h', '9d', '7h', '5s', '7d']",,4d,100,100
14,River,1,-388,388,CHECK,0,"['4h', '9s']","['6s', 'Ad']","['6h', '9d', '7h', '5s', '7d']",,4d,100,100
15,Pre-Flop,1,-288,288,CALL,0,"['5h', '5d']","['4d', '3h']","['6d', '2s']",,,1,1
15,Pre-Flop,0,-288,288,RAISE,98,"['5h', '5d']","['4d', '3h']","['6d', '2s']",,,2,2
15,Pre-Flop,1,-288,288,DISCARD,0,"['5h', '5d']","['4d', '3h']","['6d', '2s']",,,2,2
15,Pre-Flop,1,-288,288,FOLD,0,"['5h', '5d']","['2d', '3h']","['6d', '2s']",,4d,2,2
16,Pre-Flop,0,-286,286,RAISE,98,"['4h', '3s']","['Ah', '9s']","['2d', '7d']",,,1,1
16,Pre-Flop,1,-286,286,CALL,0,"['4h', '3s']","['Ah', '9s']","['2d', '7d']",,,2,2
16,Flop,0,-286,286,CHECK,0,"['4h', '3s']","['Ah', '9s']","['2d', '7d', '5d']",,,100,100
16,Flop,1,-286,286,CHECK,0,"['4h', '3s']","['Ah', '9s']","['2d', '7d', '5d']",,,100,100
16,Turn,0,-286,286,CHECK,0,"['4h', '3s']","['Ah', '9s']","['2d', '7d', '5d', '2h']",,,100,100
